"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"IC02_01"	"ZB01_CP"	"ZB01x01"	"ZB01x02"	"ZB01x03"	"ZB01x04"	"ZB01x05"	"ZB01x06"	"ZB01x07"	"ZB01x08"	"ZB01x09"	"ZB01x10"	"BE01_01"	"BE02_01"	"BE03_01"	"BE04_01"	"BE05_01"	"BE06_01"	"BE07_01"	"BE08_01"	"BE09_01"	"BE10_01"	"BE11_01"	"BE12_01"	"BE13_01"	"BE14_01"	"BE15_01"	"BE16_01"	"BE17_01"	"BE18_01"	"BE19_01"	"BE20_01"	"BE21_01"	"BE22_01"	"BE23_01"	"BE24_01"	"BE25_01"	"BE26_01"	"BE27_01"	"BE28_01"	"BE29_01"	"BE30_01"	"BE31_01"	"BE32_01"	"BE33_01"	"BE34_01"	"BE35_01"	"BE36_01"	"BE37_01"	"BE38_01"	"BE39_01"	"BE40_01"	"BE41_01"	"BE42_01"	"BE43_01"	"BE44_01"	"BE45_01"	"BE46_01"	"BE47_01"	"BE48_01"	"BE49_01"	"BE50_01"	"BE51_01"	"BE52_01"	"BE53_01"	"BE54_01"	"BE55_01"	"BE56_01"	"BE57_01"	"BE58_01"	"BE59_01"	"BE60_01"	"BE61_01"	"BE62_01"	"BE63_01"	"BE64_01"	"BE65_01"	"BE66_01"	"BE67_01"	"BE68_01"	"BE69_01"	"BE70_01"	"BE71_01"	"BE72_01"	"BE73_01"	"BE74_01"	"BE75_01"	"BE76_01"	"ER01_01"	"ER02_01"	"ER03_01"	"ER04_01"	"ER05_01"	"ER06_01"	"ER07_01"	"ER08_01"	"ER09_01"	"ER10_01"	"ER11_01"	"ER12_01"	"ER13_01"	"ER14_01"	"ER15_01"	"ER16_01"	"ER17_01"	"ER18_01"	"ER19_01"	"ER20_01"	"ER21_01"	"ER22_01"	"ER23_01"	"ER24_01"	"ER25_01"	"ER26_01"	"ER27_01"	"ER28_01"	"ER29_01"	"ER30_01"	"ER31_01"	"ER32_01"	"ER33_01"	"ER34_01"	"ER35_01"	"ER36_01"	"ER37_01"	"ER38_01"	"ER39_01"	"ER40_01"	"ER41_01"	"ER42_01"	"ER43_01"	"ER44_01"	"ER45_01"	"ER46_01"	"ER47_01"	"ER48_01"	"ER49_01"	"ER50_01"	"ER51_01"	"ER52_01"	"ER53_01"	"ER54_01"	"ER55_01"	"ER56_01"	"ER57_01"	"ER58_01"	"ER59_01"	"ER60_01"	"ER61_01"	"ER62_01"	"ER63_01"	"ER64_01"	"ER65_01"	"ER66_01"	"ER67_01"	"ER68_01"	"ER69_01"	"ER70_01"	"ER71_01"	"ER72_01"	"ER73_01"	"ER74_01"	"ER75_01"	"ER76_01"	"GB01_01"	"GB02_01"	"GB03_01"	"GB04_01"	"GB05_01"	"GB06_01"	"GB07_01"	"GB08_01"	"GB09_01"	"GB10_01"	"GB11_01"	"GB12_01"	"GB13_01"	"GB14_01"	"GB15_01"	"GB16_01"	"GB17_01"	"GB18_01"	"GB19_01"	"GB20_01"	"GB21_01"	"GB22_01"	"GB23_01"	"GB24_01"	"GB25_01"	"GB26_01"	"GB27_01"	"GB28_01"	"GB29_01"	"GB30_01"	"GB31_01"	"GB32_01"	"GB33_01"	"GB34_01"	"GB35_01"	"GB36_01"	"GB37_01"	"GB38_01"	"GB39_01"	"GB40_01"	"GB41_01"	"GB42_01"	"GB43_01"	"GB44_01"	"GB45_01"	"GB46_01"	"GB47_01"	"GB48_01"	"GB49_01"	"GB50_01"	"GB51_01"	"GB52_01"	"GB53_01"	"GB54_01"	"GB55_01"	"GB56_01"	"GB57_01"	"GB58_01"	"GB59_01"	"GB60_01"	"GB61_01"	"GB62_01"	"GB63_01"	"GB64_01"	"GB65_01"	"GB66_01"	"GB67_01"	"GB68_01"	"GB69_01"	"GB70_01"	"GB71_01"	"GB72_01"	"GB73_01"	"GB74_01"	"GB75_01"	"GB76_01"	"GO01_01"	"GO02_01"	"GO03_01"	"GO04_01"	"GO05_01"	"GO06_01"	"GO07_01"	"GO08_01"	"GO09_01"	"GO10_01"	"GO11_01"	"GO12_01"	"GO13_01"	"GO14_01"	"GO15_01"	"GO16_01"	"GO17_01"	"GO18_01"	"GO19_01"	"GO20_01"	"GO21_01"	"GO22_01"	"GO23_01"	"GO24_01"	"GO25_01"	"GO26_01"	"GO27_01"	"GO28_01"	"GO29_01"	"GO30_01"	"GO31_01"	"GO32_01"	"GO33_01"	"GO34_01"	"GO35_01"	"GO36_01"	"GO37_01"	"GO38_01"	"GO39_01"	"GO40_01"	"GO41_01"	"GO42_01"	"GO43_01"	"GO44_01"	"GO45_01"	"GO46_01"	"GO47_01"	"GO48_01"	"GO49_01"	"GO50_01"	"GO51_01"	"GO52_01"	"GO53_01"	"GO54_01"	"GO55_01"	"GO56_01"	"GO57_01"	"GO58_01"	"GO59_01"	"GO60_01"	"GO61_01"	"GO62_01"	"GO63_01"	"GO64_01"	"GO65_01"	"GO66_01"	"GO67_01"	"GO68_01"	"GO69_01"	"GO70_01"	"GO71_01"	"GO72_01"	"GO73_01"	"GO74_01"	"GO75_01"	"GO76_01"	"PI01_01"	"PI02_01"	"PI03_01"	"PI04_01"	"PI05_01"	"PI06_01"	"PI07_01"	"PI08_01"	"PI09_01"	"PI10_01"	"PI11_01"	"PI12_01"	"PI13_01"	"PI14_01"	"PI15_01"	"PI16_01"	"PI17_01"	"PI18_01"	"PI19_01"	"PI20_01"	"PI21_01"	"PI22_01"	"PI23_01"	"PI24_01"	"PI25_01"	"PI26_01"	"PI27_01"	"PI28_01"	"PI29_01"	"PI30_01"	"PI31_01"	"PI32_01"	"PI33_01"	"PI34_01"	"PI35_01"	"PI36_01"	"PI37_01"	"PI38_01"	"PI39_01"	"PI40_01"	"PI41_01"	"PI42_01"	"PI43_01"	"PI44_01"	"PI45_01"	"PI46_01"	"PI47_01"	"PI48_01"	"PI49_01"	"PI50_01"	"PI51_01"	"PI52_01"	"PI53_01"	"PI54_01"	"PI55_01"	"PI56_01"	"PI57_01"	"PI58_01"	"PI59_01"	"PI60_01"	"PI61_01"	"PI62_01"	"PI63_01"	"PI64_01"	"PI65_01"	"PI66_01"	"PI67_01"	"PI68_01"	"PI69_01"	"PI70_01"	"PI71_01"	"PI72_01"	"PI73_01"	"PI74_01"	"PI75_01"	"PI76_01"	"DI01_01"	"DI02_01"	"DI03_01"	"DI04_01"	"DI05_01"	"DI06_01"	"DI07_01"	"DI08_01"	"DI09_01"	"DI10_01"	"DI11_01"	"DI12_01"	"DI13_01"	"DI14_01"	"DI15_01"	"DI16_01"	"DI17_01"	"DI18_01"	"DI19_01"	"DI20_01"	"DI21_01"	"DI22_01"	"DI23_01"	"DI24_01"	"DI25_01"	"DI26_01"	"DI27_01"	"DI28_01"	"DI29_01"	"DI30_01"	"DI31_01"	"DI32_01"	"DI33_01"	"DI34_01"	"DI35_01"	"DI36_01"	"DI37_01"	"DI38_01"	"DI39_01"	"DI40_01"	"DI41_01"	"DI42_01"	"DI43_01"	"DI44_01"	"DI45_01"	"DI46_01"	"DI47_01"	"DI48_01"	"DI49_01"	"DI50_01"	"DI51_01"	"DI52_01"	"DI53_01"	"DI54_01"	"DI55_01"	"DI56_01"	"DI57_01"	"DI58_01"	"DI59_01"	"DI60_01"	"DI61_01"	"DI62_01"	"DI63_01"	"DI64_01"	"DI65_01"	"DI66_01"	"DI67_01"	"DI68_01"	"DI69_01"	"DI70_01"	"DI71_01"	"DI72_01"	"DI73_01"	"DI74_01"	"DI75_01"	"DI76_01"	"BA01_01"	"BA02_01"	"BA03_01"	"BA04_01"	"BA05_01"	"BA06_01"	"BA07_01"	"BA08_01"	"BA09_01"	"BA10_01"	"BA11_01"	"BA12_01"	"BA13_01"	"BA14_01"	"BA15_01"	"BA16_01"	"BA17_01"	"BA18_01"	"BA19_01"	"BA20_01"	"BA21_01"	"BA22_01"	"BA23_01"	"BA24_01"	"BA25_01"	"BA26_01"	"BA27_01"	"BA28_01"	"BA29_01"	"BA30_01"	"BA31_01"	"BA32_01"	"BA33_01"	"BA34_01"	"BA35_01"	"BA36_01"	"BA37_01"	"BA38_01"	"BA39_01"	"BA40_01"	"BA41_01"	"BA42_01"	"BA43_01"	"BA44_01"	"BA45_01"	"BA46_01"	"BA47_01"	"BA48_01"	"BA49_01"	"BA50_01"	"BA51_01"	"BA52_01"	"BA53_01"	"BA54_01"	"BA55_01"	"BA56_01"	"BA57_01"	"BA58_01"	"BA59_01"	"BA60_01"	"BA61_01"	"BA62_01"	"BA63_01"	"BA64_01"	"BA65_01"	"BA66_01"	"BA67_01"	"BA68_01"	"BA69_01"	"BA70_01"	"BA71_01"	"BA72_01"	"BA73_01"	"BA74_01"	"BA75_01"	"BA76_01"	"SC01_01"	"SC02_01"	"SC03_01"	"DF01_01"	"DF02"	"DF04"	"DF04_04"	"DF05"	"DF05_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
314			"base"	"interview"	2018-04-23 17:32:21	4	6	27	11	34	36	65	72	64	14	18	6						"Das Auto auf dem hat ein Leck "					"Die rechte Person bedroht die Linke mit einem Gegenstand"			"Die Linke Person wird von der rechten bedroht "				"Die Person lässt 2 Kisten fallen "									"Die Person ist vom Fahrrad gefallen "							"Die Person hat das Portemonnaie fallen gelassen "		"Die Person trägt 2 große Kisten "																												"Die Person liegt am Boden und blutet am beln"	"Die Person liegt verletzt und blutend am boden"							"Die Person schaut auf die Uhr und ist in Eile "										4					5			3				7									3							5		7																												6	6							4										4					5			2				1									1							1		2																												2	4							1										5					6			5				5									4							3		5																												6	7							2										3					5			4				2									6							5		4																												2	2							6										3					5			4				6									4							3		6																												6	6							1										5					4			4				2									3							2		1																												2	2							4					"Immer die gleichen Fragen zu den Bildern. "	"Nein"	"Das erforschen von Hilfsbereitschaft vo Personen anhand einfacher Bilder "	23	2	2		1		22	8	15	574	54	15	33	721		2018-04-23 17:44:22	T	F	7	7	0	0	0.96	5
315			"base"	"interview"	2018-04-23 17:35:09	4	7	19	70	48	25	60	57	1	39	59	51	"Schon wieder Überfall. Oder Gebiet mit hohem Terroraufkommen. Hohe Schussbereitschaft."																		"Eine Person stplpert über ein festes Objekt. Könnte als Hinweisschild in einem Lager durchgehen."						"Person sitzt neben einem Fahrrad"														"Eine Person fällt von der Leiter"									"SIet wie ein Überfall aus."			"Eine Person will eine Spinne töten oder hat Angst davor. Könnte giftig und gefährlich sein, muss aber nicht"						"Eine Person steht auf einem wackeligen Stuhl"		"Eine Person stürzt die Treppe hinunter"	"Eine Person wurde von einem Auo angefahren"										"Eine Person sitzt. Könnte sein, dass es dort glatt ist."							5																		7						2														7									7			5						7		7	5										3							7																		1						1														5									7			4						1		4	2										1							7																		7						1														7									7			4						7		7	6										4							1																		7						7														1									1			7						4		1	2										7							6																		4						1														7									6			3						7		7	6										4							1																		2						5														1									1			3						1		1	1										2							"Die Antwortmöglichkeiten waren immer die selben.
Es ging warscheinlich um Gefahren"	"noch nicht an einer ähnlichen Studie teilgenommen."	"Ich denke das Ziel ist es herauszufinden bei welchen Gefahren man eingreift und welche nicht. Dazu zhlen Alltägliche ""Gefahren"" wie eine Spinne hier bei uns, über wirklich giftige Spinnen bis hin zu Gewallt Überfällen und Terrorismus (Wieso sollte auch sonst das Bild dabei gewesen sein, auf dem eine Figur ein Gewehr hielt?!"	25	2	2		1		31	12	17	596	191	11	116	974		2018-04-23 17:51:23	T	F	7	7	0	0	0.65	1
321			"base"	"interview"	2018-04-23 17:52:04	4	7	31	52	5	55	35	24	71	46	12	38					"Die Person schiebt einen Wagen an"							"Eine bewaffnete Person bedroht eine andere"												"Die Person ist von ihrem Fahrrad gefallen"							"Eine Person hat eine giftige Flüssigkeit zu sich genommen"				"Ein großer Kerzenständer fällt auf die Person herab"			"Eine Person droht auf einen Laptop zu treten, die andere Person ist verzweifelt"								"Die stehende Person hat die andere mit einem Baseballschläger nieder geschlagen"						"Auf die Person kommt eine große Spinne zu"			"Hier fällt eine Person mit ihrem Stuhl um"																"Die Person winkt (ins Leere)"										5							7												4							6				6			7								7						6			6																6										1							5												1							2				2			1								4						3			1																1										2							7												5							7				6			2								7						5			6																1										6							1												3							1				3			6								1						5			3																7										1							6												6							7				6			5								6						2			6																1										1							3												3							2				2			5								3						5			4																1						"Es gab Bilder, die eindeutig gefährliche Situationen dargestellt haben, aber auch welche, aus denen der Notfall nicht genau erkennbar war. Daher fiel es bei manchen Bildern leichter, die Fragen zu beantworten als bei anderen."	"Nein"	"Vielleicht um zu schauen, wie gut man sich in die auf den Bildern dargestellten Personen und Situationen hineinversetzen kann, durch ganz einfache Darstellung dieser."	23	1	2		1		4	4	2	422	170	11	87	700		2018-04-23 18:03:44	T	F	7	7	0	0	1.55	57
322			"base"	"interview"	2018-04-23 17:54:03	4	7	74	3	9	7	50	67	49	75	13	76			"Person nach Autounfall"				"Person nach Autounfall"		"Person nach Autounfall"				"Angriff mit Baseballschläger"																																				"Person lehnt sch zu weit zurück"	"Person stürzt"																	"Vergifteter Apfel?"							"Streit an Haltestelle"	"Person packt etwas in Kofferraum"	"Person schiebt Auto"			6				7		5				7																																				5	7																	2							6	5	7			1				1		1				5																																				1	1																	1							4	1	1			7				7		6				7																																				3	7																	5							5	1	1			2				2		5				1																																				6	1																	6							5	7	1			6				6		6				6																																				2	6																	2							5	1	6			2				2		3				2																																				6	1																	6							5	7	2				22	1	2		1		308	10	6	396	8	13	15	457		2018-04-23 18:06:39	T	F	7	7	4	4	1.51	85
323			"base"	"interview"	2018-04-23 17:55:07	4	8	37	52	47	24	68	35	46	60	2	38		"Eine Person liegt blutend am Boden und eine andere Person steht mit einem Gewehr schießend daneben."																						"Eine Person sitzt blutend neben einem Fahrrad."											"Ein Kronleuchter fällt auf eine Person."		"Eine Person trägt mehrere schwere Kisten."	"Eine Person tritt auf einen Laptop und eine andere Person steht daneben und fasst sich an den Kopf."								"Eine Person liegt blutend am Boden und eine andere Person steht über ihr mit einem Schlagstock."	"Eine Person liegt blutend am Boden und eine andere steht daneben mit einer Pistole in der Hand."					"Eine Person, die vor einer Spinne Angst hat."								"Eine Person liegt am Boden und ein Auto ist zu sehen."								"Eine Person sitzt blutend auf dem Boden."										7																						7											4		7	7								7	6					7								7								7										7																						1											2		1	1								7	7					1								1								2										7																						5											7		5	3								7	7					1								7								5										1																						1											1		5	4								1	1					4								1								3										3																						7											3		2	3								2	5					1								7								7										1																						1											1		1	4								1	1					1								1								2									"Es sollte das Bild nur beschrieben, nicht aber interpretiert werden."	"Nein."	"Herauszufinden in welchen Situationen Menschen eingreifen würden oder ab wann sie sich aus Selbstschutz beispielsweise zurückhalten."	20	1	2		1		3229	8	31	786	175	13	100	1103		2018-04-23 19:07:29	T	F	7	7	0	0	0.57	1
324			"base"	"interview"	2018-04-23 18:03:12	4	7	23	11	2	54	61	40	32	53	37	26		"Person 1 (rechs) erschießt Person 2 (links) mit einem Gewehr. Person 2 liegt bereits am Boden "									"Person 1 (rechts) greift Person 2 (links) mit einem Messer an"												"Ein Radfahrer fällt rückwärts vom Rad."			"Person hat Schmerzen an Wade oder Bein. Bedeutung Fahrrad unklar."						"Eine große Kiste fällt von einem Stapel herunter und auf die Person drauf "					"Person trägt Kisten, die schief gestapelt sind "			"Person 1 (links) liegt am Boden. Person 2 (rechts) steht da - ob es eine Beteiligung von 2 an der Situation von 1 gibt ist unklar.  Es könnte auch sein, da Person 1 einen Schwächeanfall, Herzinfakt etc.hat."													"Person flieht vor einer Spinne"	"Person flieht vor einer Spinne"							"Ein Auto fährt an einem am Rand liegenden Passanten vorbei."																	6									6												5			4						6					6			1													6	4							2																	6									6												3			1						1					1			1													1	2							1																	7									7												7			4						7					4			6													2	5							4																	1									1												1			2						1					7			3													7	6							7																	3									5												7			6						7					5			6													1	1							7																	3									3												1			1						1					1			2													7	7							1																"Gleiches Schema bei jedem Bild 
Spinne 2x --> 1x groß und 1x klein"	"Nein"		19	1	2		1		13	15	43	878	42	13	33	1006		2018-04-23 18:20:29	T	F	7	7	1	1	0.87	7
325			"base"	"interview"	2018-04-23 18:06:41	4	8	75	1	62	10	71	51	19	3	39	50	"Ein Mensch zielt mit einer Waffe, ein anderer duckt sich."		"Ein Mensch scheint von einem Auto angefahren worden zu sein oder das Auto fährt einfach teilnahmslos an einer verletzen Person vorbei."							"Ein Mensch bedroht einen anderen Menschen mit einer Waffe."									"Ein Mensch stolpert über einen Gegenstand."																				"Eine Person fällt von einer Leiter."											"Ein Mensch fällt von einer Kommode oder er balanciert/turnt darauf."	"Ein Mensch erschrickt vor einer Spinne."											"Ein Mensch liegt oder fällt."									"Ein Mensch grüßt sitzend oder bittet sitzend um Hilfe."				"Ein Mensch befindet sich hinter einem Auto. unklar, ob er es anschieben will oder ob er es aufhalten will."		6		4							7									7																				7											4	7											4									5				3		7		3							7									3																				1											3	4											1									1				4		7		6							7									6																				6											5	5											3									3				4		2		3							1									3																				2											3	4											5									5				4		3		5							4									5																				6											3	3											5									5				3		3		3							5									3																				3											3	5											4									5				3		"Nicht wirklich."	"Nein."	"Das Empfinden von Leuten auf verschiedene, nicht eindeutige Situationen zu erforschen."	21	1	2		1		18	8	10	371	50	10	19	486		2018-04-23 18:14:47	T	F	7	7	0	0	1.29	18
326			"base"	"interview"	2018-04-23 18:06:46	4	7	69	66	73	28	8	62	17	42	27	33								"Eine Person, die verletzt ist und um Hilfe bittet"									"Etwas stürzt auf eine Person herab"										"Eine Person, die neben einem Rad sitzt"	"Eine Person mit Fahrradunfall"					"Eine Person, der Sachen herunterfallen"									"Eine liegende Person, die blutet"																				"Eine liegende Person"				"Eine stolpernde Person, die eine Kanne dabei fallen lässt"			"Eine sitzende Person mit gesenktem Kopf"				"Eine betende Person"											4									6										2	7					6									5																				1				5			1				3											1									1										1	1					1									1																				1				4			1				1											7									6										4	7					1									6																				4				5			5				1											2									2										7	1					1									3																				7				6			7				5											7									6										4	7					7									7																				4				5			4				1											1									1										1	1					1									1																				1				2			3				1				"Der erste in dieser Art, an dem ich teilnehme"	"Nein"	"Hilfeverhalten (bei unklaren Situationen)"	18	1	2		1		5	6	7	361	55	9	74	517		2018-04-23 18:15:23	T	F	7	7	0	0	1.42	25
328			"base"	"interview"	2018-04-23 18:32:34	4	8	16	56	28	73	57	41	61	5	23	76					"Person schiebt ein Auto. "											"Ein Mann greift eine Frau aggressiv von hinten. "							"Person fällt rückwärts vom Fahrrad. "					"Person liegt in einer Blutlache neben einem Fahrrad. "													"Eine Person hat einer anderen Person geschadet. "															"Person fällt mit dem Stuhl nach hinten um. "	"Person fällt mit einem Stuhl um. "				"Person liegt in einer Blutlache vor einem Auto. "												"Person betet. "			"Person schiebt ein Auto."					5											5							6					5													2															7	7				5												1			4					2											5							2					3													4															1	3				3												4			2					4											6							6					7													6															5	6				7												4			2					3											3							3					2													5															1	1				2												6			5					3											5							5					7													5															3	5				7												3			5					5											1							2					3													2															2	2				2												4			5	"Eher weniger. "	"Nein. "	"Keine Ahnung. Manchmal frage ich mich, ob es nur um Antworttendenzen geht. "	19	1	2		1		10	10	15	430	50	14	44	573		2018-04-23 18:42:08	T	F	7	7	0	0	1.03	7
329			"base"	"interview"	2018-04-23 18:35:59	4	8	34	9	64	40	44	13	54	6	32	63						"Person fährt sich mit Auto im Schlamm fest "			"Person sitzt auf einer befahrenen Straße "				"Jemand möchte eine Person mit einem Schläger verhauen"																			"jemand wird von Kisten, die herunterfallen, erschlagen "		"Person hebt Geld von dem Boden auf"						"Jemand liegt verletzt am Boden, andere Person eilt zu der Person "				"Eine Person mit scharfen Gegenstand in der Hand verletzte eine andere Person"										"jemand rennt aus Angst vor einer Spinne weg"									"Person liegt auf dem Boden weil sie ausgerutscht ist und blutet. "	"jemand rutscht im Dreck aus "																		7			2				7																			7		5						6				6										7									4	5																		1			1				2																			2		1						1				4										1									2	2																		2			6				7																			7		2						7				7										2									6	7																		6			4				1																			1		7						2				1										7									5	2																		6			7				7																			7		3						7				7										1									5	7																		1			1				1																			1		1						1				1										1									1	1													"es waren immer gefährliche/unschöne Ereignisse "	"nein "		20	1	2		1		8	6	4	418	29	8	23	496		2018-04-23 18:44:15	T	F	7	7	1	1	1.83	41
332			"base"	"interview"	2018-04-23 18:37:14	4	8	67	42	15	53	65	21	17	11	55	49											"Eine Person mit erhobenen Händen wird von einer anderen Person mit einem Messer angegriffen."				"Eine Person, die sich zu verteidigen versucht, wird von einer anderen Person mit einer Waffe angegriffen."		"Ein Gegenstand stürzt in nächstem Moment auf eine Person, die versucht diesen mit ihren Händen abzuwehren."				"Eine Person ist am Bein verletzt und verliert Blut."																					"Eine am Boden liegende Person, in einer Pfütze liegend."							"Eine Person stürzt rückwärts von einer Kommode."				"Eine Person flieht von einerm Insekt und hat Angst."		"Eine Person fällt rückwärts von einem Stuhl."										"Eine am Boden liegende Person, vermutlich ohnmächtig. Sie liegt in einer Pfütze oder in eigenem Erbrochenen."		"Ein zu Boden gestürzter Mann mit einem Apfel in der Hand."																				4				7		7				5																					1							7				7		7										7		2																				5				6		1				4																					3							1				5		1										1		4																				7				7		7				7																					7							7				6		7										7		7																				4				1		5				1																					6							5				2		7										1		2																				6				7		5				6																					5							5				5		5										7		6																				2				1		1				1																					3							2				1		2										1		4										"Manche Situationen nahm ich viel eindeutiger wahr, als andere."	"Nein."	"Einschätzung über das Erkennen/Wahrnehmen einer Situation als Notfall.
Unterschiede in der Wahrnehmung und Reaktion auf die Situation zwischen Gefahren, die von anderen Personen ausgehen und Gefahren, bei welchen keine anderen Personen anwesend sind.
Unterschiede in der Reaktion auf die Gefahrensituation, je nachdem wie gefährlich die Situation für sich selbst eingeschätzt wird.
Zusammenhang zwischen Eindeutigkeit der Situation bzw. wie gut ein Notfall erkannt wird und der Angst sich zu blamieren."	20	1	2		1		17	13	17	715	256	14	33	1065		2018-04-23 18:54:59	T	F	7	7	0	0	0.7	0
333			"base"	"interview"	2018-04-23 18:44:42	4	8	12	20	31	70	59	45	29	74	43	26												"Eine Person wird von einer anderen Person angeschossen/erschossen."								"Person stolpert und fällt vor einen Bus."						"Eine Person ist vom Fahrrad gestürzt, blutet und bittet um Hilfe."			"Eine Person ist vom Fahrrad gestürzt."		"Person fällt und hält dabei eine gefährliche Chemikalie in einen Kolben."												"Eine Person wurde von einer anderen Person erstochen."		"Eine Person prügelt auf eine andere mit einen Baseballschläger ein."														"Eine Person stolpert auf der Treppe über einen Gegenstand und stürzt."											"Eine Person macht Yoga."				"Eine Diskussion von zwei Personen."														5								4						7			4		6												7		5														7											4				3														7								3						1			1		2												7		6														1											1				1														7								6						6			6		7												7		7														6											1				2														1								2						1			2		1												1		2														1											2				6														6								6						7			6		7												5		6														6											1				1														1								1						1			2		1												1		1														1											4				6			"Es handelte sich überwiegend um Gefahrensituation. 
Die Antwortmodi waren immer identisch."	"Nein."	"Die Reaktion, aus der Sicht eines Beobachters, in verschiedenen Situationen zu erfragen."	20	1	2		1		15	15	31	901	287	17	85	1332		2018-04-23 19:07:13	T	F	7	7	0	0	0.52	0
335			"base"	"interview"	2018-04-23 18:55:13	4	8	36	48	8	4	72	30	22	66	14	58				"Die Person liegt unter einem brennenden Auto."				"Eine Person sitzt unter einem Auto."						"Eine Person richtet ein Schwert auf die andere Person."								"Die Person wird von einem Hirsch verfolgt."								"Eine Person steht vor dem Feuer und bittet um Hilfe."						"Ein Männchen trägt zwei Kartons. Der obere Karton liegt schief auf dem unteren."												"Eine Person richtet die Pistole auf eine andere Person, die bereits am Boden liegt."										"Eine Person fällt die Treppe hinunter."								"Die Person rutscht aus und lässt beim Hinfallen die Teekanne fallen."						"Eine Person steht vor einer Uhr."								7				1						5								5								7						5												5										6								6						1								6				1						3								5								5						1												5										1								1						1								7				6						7								7								7						5												7										5								4						1								1				6						2								1								2						7												1										4								3						1								6				4						6								6								6						6												5										5								4						1								2				4						3								1								3						3												5										5								5						1					"Die Bilder zeigen nicht immer eindeutige Situationen. Dies ist scher zu beurteilen.
Die Fragen zu den Bildern waren immer gleich aufgebaut."	"Nein."	"Ziel ist eventuell die Urteilskraft hinsichtlich uneindeutigen Situationen zu beleuchten."	22	1	2		1		20	9	15	600	181	12	24	861		2018-04-23 19:09:34	T	F	7	7	0	0	0.87	3
336			"base"	"interview"	2018-04-23 18:58:01	4	8	25	69	18	7	43	31	64	56	48	10							"ein Auto und einen sitzenden Menschen"			"eine Person schießt auf eine andere"								"Mensch stolpert und verliert Kartons"							"ein Mensch ist vermutlich vom Fahrrad gefallen"						"ein Mensch verätzt sich gleich"												"eine Person verletzt eine andere"					"ein Mensch schießt einen anderen an"								"eine Person droht vom Stuhl zu fallen"								"einen liegenden Menschen"					"ein sitzender Mensch, vielleicht traurig"														2			7								6							5						5												5					5								6								1					3														1			7								1							2						5												6					7								1								1					1														3			7								4							6						7												7					7								7								2					2														7			1								5							6						1												2					1								1								7					7														1			5								2							3						5												4					4								5								1					1														1			4								2							3						5												4					4								4								1					2								"nur, dass einmal eine Person mit Umgebung abgebildet war und dann nochmal die gleiche Person in der gleichen Lage, aber ohne die Umgebung, was die Situation uneindeutiger gemacht hat."	"nein"	"die Bilder zu validieren, hinsichtlich ihrer Echtheit für eine nächste Studie"	18	1	2		1		17	9	7	392	101	12	62	600		2018-04-23 19:08:01	T	F	7	7	0	0	1.01	9
337			"base"	"interview"	2018-04-23 19:00:10	4	9	21	12	49	11	44	76	5	60	36	18					"Eine Person versucht ihr Auto aus dem Schlamm zu schieben."						"Eine Person wird anscheinend mit einem langen, möglicherweise spitzen oder scharfen Gegenstand bedroht."	"Eine Person wird mit einer Schusswaffe bedroht."						"Einer Person fällt ein Karton aus der Hand, einen anderen hält sie noch fest."			"Eine Person ist hingefallen und blutet am Bein."															"Eine Person trägt zwei schwere Kartons."								"Eine Person liegt oder kauert sich auf den Boden während eine andere etwas langes, spitzes hält."					"Eine Person ist dabei von einem Schrank zu fallen."											"Eine Person liegt auf der Straße, wurde möglicherweise angefahren oder läuft Gefahr angefahren zu werden."																"Eine Person schiebt ein Auto an."					5						4	7						7			5															7								4					6											2																7					1						3	7						2			1															1								4					1											2																1					2						6	7						3			5															5								6					6											6																2					3						6	2						3			3															4								3					2											3																6					5						3	4						6			5															5								5					7											6																2					5						5	6						2			4															3								3					1											2																6	"Nein."	"Nein."	"Herauszufinden, wie Hilfsbereitschaft abhängt von Gefahr für einen selbst, für andere und Vorliegen eines Notfalls."	20	1	2		1		149	15	135	1259	202	29	925	1542		2018-04-23 19:45:24	T	F	7	7	0	0	0.3	0
